Class,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,SumOfAPs
org.apache.xerces.dom.DeferredElementImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.dom.ElementImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.dom.DeferredDocumentImpl,0,6,4,12,0,0,0,15,6,9,0,2,4,58
org.apache.xerces.dom.DocumentImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.dom.NodeImpl,0,5,0,5,0,0,0,6,3,20,0,0,2,41
org.apache.xerces.impl.xs.XSDDescription,0,17,6,9,0,2,0,16,8,75,0,0,2,135
org.apache.xerces.util.XMLResourceIdentifierImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.xni.QName,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.stax.events.XMLEventImpl,0,2,0,2,0,0,0,4,2,4,0,0,2,16
org.apache.xerces.stax.EmptyLocation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.stax.ImmutableLocation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.html.dom.HTMLTableSectionElementImpl,0,17,6,9,0,2,0,16,8,76,0,0,2,136
org.apache.html.dom.HTMLElementImpl,0,17,6,9,0,2,0,16,8,51,0,0,2,111
org.apache.html.dom.HTMLCollectionImpl,0,17,6,9,0,2,0,16,8,76,0,0,2,136
org.apache.html.dom.HTMLDocumentImpl,0,17,6,9,0,2,0,16,8,75,0,0,2,135
org.apache.html.dom.HTMLTableRowElementImpl,0,17,6,9,0,2,0,16,8,76,0,0,2,136
org.apache.xerces.impl.dtd.XML11DTDValidator,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.Constants,1,20,5,20,0,0,0,27,15,23,0,2,5,118
org.apache.xerces.impl.dtd.XMLDTDValidator,0,8,4,15,0,0,0,18,8,30,0,2,3,88
org.apache.xerces.impl.dv.DTDDVFactory,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.dom.EntityImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.dom.ParentNode,0,5,0,3,0,0,0,8,5,3,0,0,1,25
org.apache.xerces.dom.CoreDocumentImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.xpointer.XPointerErrorHandler,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.xni.XNIException,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.xni.parser.XMLParseException,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.util.HTTPInputSource,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.xni.parser.XMLInputSource,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.io.UCSReader,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xml.serialize.Printer,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xml.serialize.OutputFormat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.html.dom.HTMLTableCellElementImpl,0,17,6,9,0,2,0,16,8,76,0,0,2,136
org.apache.xerces.impl.dv.xs.IntegerDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.dv.InvalidDatatypeValueException,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.dv.xs.DecimalDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.xs.util.SimpleLocator,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.util.StAXInputSource,0,5,0,5,0,0,0,6,3,0,0,0,2,21
org.apache.xerces.util.DOMUtil,0,2,1,2,0,0,0,5,3,1,0,0,0,14
