Class,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,SumOfAPs
org.apache.xerces.dom.DeferredElementImpl,0,1,0,1,0,0,0,1,0,1,0,0,0,4
org.apache.xerces.dom.ElementImpl,0,2,0,3,0,0,0,2,3,1,0,0,0,11
org.apache.xerces.dom.DeferredDocumentImpl,0,1,0,1,0,0,0,1,1,11,0,0,0,15
org.apache.xerces.dom.DocumentImpl,0,0,0,2,0,0,0,2,1,4,0,0,0,9
org.apache.xerces.dom.NodeImpl,0,2,0,3,0,2,0,2,2,7,0,0,0,18
org.apache.xerces.impl.xs.XSDDescription,0,4,1,4,0,0,0,4,3,0,0,0,2,18
org.apache.xerces.util.XMLResourceIdentifierImpl,0,2,0,2,0,0,0,2,0,0,0,0,0,6
org.apache.xerces.xni.QName,0,13,4,14,0,0,0,32,9,10,0,2,8,92
org.apache.xerces.stax.events.XMLEventImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.stax.EmptyLocation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.stax.ImmutableLocation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.html.dom.HTMLTableSectionElementImpl,0,0,0,0,0,0,0,0,0,1,0,0,0,1
org.apache.html.dom.HTMLElementImpl,0,0,0,0,0,0,0,0,0,1,0,0,0,1
org.apache.html.dom.HTMLCollectionImpl,0,0,0,0,0,0,0,0,0,1,0,0,0,1
org.apache.html.dom.HTMLDocumentImpl,0,0,0,0,0,2,0,0,1,50,0,0,0,53
org.apache.html.dom.HTMLTableRowElementImpl,0,0,0,0,0,0,0,0,0,1,0,0,0,1
org.apache.xerces.impl.dtd.XML11DTDValidator,0,2,0,2,0,0,0,0,1,0,0,0,0,5
org.apache.xerces.impl.Constants,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.xerces.impl.dtd.XMLDTDValidator,0,34,5,5,0,2,0,7,1,4,0,2,2,62
org.apache.xerces.impl.dv.DTDDVFactory,0,8,0,8,0,2,0,1,1,2,0,2,1,25
org.apache.xerces.dom.EntityImpl,0,2,0,2,0,0,0,2,2,1,0,0,0,9
org.apache.xerces.dom.ParentNode,0,2,0,2,0,0,0,2,1,4,0,0,0,11
org.apache.xerces.dom.CoreDocumentImpl,0,15,0,5,0,0,0,9,3,26,0,0,0,58
org.apache.xerces.xpointer.XPointerErrorHandler,0,1,0,0,0,0,0,0,0,1,0,0,0,2
org.apache.xerces.xni.XNIException,0,11,0,10,0,0,0,7,4,1,0,2,2,37
org.apache.xerces.xni.parser.XMLParseException,0,5,2,2,0,0,0,4,3,0,0,2,1,19
org.apache.xerces.util.HTTPInputSource,0,0,0,0,0,0,0,0,0,0,0,0,0,0
